127.0.0.1 - - [14/Feb/2021:14:20:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:29 +0900] "GET /UI04_JQ/ HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:30 +0900] "GET /UI04_JQ/jq01_start.html HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:30 +0900] "GET /UI04_JQ/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:30 +0900] "GET /UI04_JQ/resources/image/img01.png HTTP/1.1" 200 41769
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:40 +0900] "GET /UI04_JQ/jq22_ajax02.html HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:40 +0900] "GET /UI04_JQ/resources/js/create-table.js HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [14/Feb/2021:14:21:41 +0900] "GET /UI04_JQ/emplist.xml HTTP/1.1" 200 23877
