127.0.0.1 - - [25/Jan/2021:07:01:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:06:36 +0900] "GET /UI01_HTML/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:06:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:06:38 +0900] "GET /UI01_HTML/html10-grouping.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:22:01 +0900] "GET /UI01_HTML/html11-html5.html HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:04 +0900] "GET /TOUSlesJOURS/style.css HTTP/1.1" 200 9247
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/TOUSlesJOURS.html HTTP/1.1" 200 10593
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/search1.png HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/banner04.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/main02.jpg HTTP/1.1" 200 147768
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resource/img/event01.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resource/img/banner05.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/recommend.png HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/recommend01.jpg HTTP/1.1" 200 50137
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/recommend02.jpg HTTP/1.1" 200 80878
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/recommend03.jpg HTTP/1.1" 200 50513
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/banner06 HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/banner06.jpg HTTP/1.1" 200 14765
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/main_sns.jpg HTTP/1.1" 200 16202
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/rescoures/img/banner02.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/rescoures/img/banner01.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/cow.jpg HTTP/1.1" 200 44466
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/news.png HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer01.png HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer02.png HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer03.png HTTP/1.1" 200 1711
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer04.png HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer05.png HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer06.png HTTP/1.1" 200 2082
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer07.png HTTP/1.1" 200 1835
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer08.png HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:31:15 +0900] "GET /TOUSlesJOURS/resources/img/footer09.png HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:43 +0900] "GET /TOUSlesJOURS/TOUSlesJOURS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:43 +0900] "GET /TOUSlesJOURS/resource/img/event01.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:43 +0900] "GET /TOUSlesJOURS/resources/img/banner04.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:43 +0900] "GET /TOUSlesJOURS/resource/img/banner05.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:43 +0900] "GET /TOUSlesJOURS/resources/img/banner06 HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:43 +0900] "GET /TOUSlesJOURS/rescoures/img/banner02.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:43 +0900] "GET /TOUSlesJOURS/rescoures/img/banner01.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:44 +0900] "GET /TOUSlesJOURS/TOUSlesJOURS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:44 +0900] "GET /TOUSlesJOURS/resource/img/event01.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:44 +0900] "GET /TOUSlesJOURS/resources/img/banner04.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:44 +0900] "GET /TOUSlesJOURS/resource/img/banner05.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:44 +0900] "GET /TOUSlesJOURS/resources/img/banner06 HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:44 +0900] "GET /TOUSlesJOURS/rescoures/img/banner02.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:44 +0900] "GET /TOUSlesJOURS/rescoures/img/banner01.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/TOUSlesJOURS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resource/img/event01.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resources/img/banner04.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resource/img/banner05.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resources/img/banner06 HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/rescoures/img/banner01.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/rescoures/img/banner02.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/TOUSlesJOURS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resource/img/event01.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resources/img/banner04.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resource/img/banner05.jpg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resources/img/banner06 HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/rescoures/img/banner01.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/rescoures/img/banner02.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/TOUSlesJOURS.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resource/img/event01.jpg HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/rescoures/img/banner02.jpg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [25/Jan/2021:07:35:48 +0900] "GET /TOUSlesJOURS/resources/img/banner04.jpg HTTP/1.1" 404 858
